,PassengerId,Pclass,SibSp,Parch,Fare,Survived_predict
0,892,3,0,0,7.8292,0.0
1,893,3,1,0,7.0,0.0
2,894,2,0,0,9.6875,0.0
3,895,3,0,0,8.6625,0.0
4,896,3,1,1,12.2875,1.0
5,897,3,0,0,9.225,0.0
6,898,3,0,0,7.6292,0.0
7,899,2,1,1,29.0,1.0
8,900,3,0,0,7.2292,0.0
9,901,3,2,0,24.15,0.0
10,902,3,0,0,7.8958,0.0
11,903,1,0,0,26.0,1.0
12,904,1,1,0,82.2667,1.0
13,905,2,1,0,26.0,1.0
14,906,1,1,0,61.175,1.0
15,907,2,1,0,27.7208,1.0
16,908,2,0,0,12.35,0.0
17,909,3,0,0,7.225,1.0
18,910,3,1,0,7.925,0.0
19,911,3,0,0,7.225,1.0
20,912,1,1,0,59.4,1.0
21,913,3,0,1,3.1708,1.0
22,914,1,0,0,31.6833,1.0
23,915,1,0,1,61.3792,1.0
24,916,1,1,3,262.375,1.0
25,917,3,1,0,14.5,0.0
26,918,1,0,1,61.9792,1.0
27,919,3,0,0,7.225,1.0
28,920,1,0,0,30.5,1.0
29,921,3,2,0,21.6792,0.0
30,922,2,1,0,26.0,1.0
31,923,2,2,0,31.5,1.0
32,924,3,1,2,20.575,1.0
33,925,3,1,2,23.45,0.0
34,926,1,1,0,57.75,1.0
35,927,3,0,0,7.2292,0.0
36,928,3,0,0,8.05,0.0
37,929,3,0,0,8.6625,0.0
38,930,3,0,0,9.5,0.0
39,931,3,0,0,56.4958,1.0
40,932,3,0,1,13.4167,1.0
41,933,1,0,0,26.55,1.0
42,934,3,0,0,7.85,0.0
43,935,2,0,0,13.0,0.0
44,936,1,1,0,52.5542,1.0
45,937,3,0,0,7.925,0.0
46,938,1,0,0,29.7,1.0
47,939,3,0,0,7.75,0.0
48,940,1,0,0,76.2917,1.0
49,941,3,0,2,15.9,1.0
50,942,1,1,0,60.0,1.0
51,943,2,0,0,15.0333,0.0
52,944,2,2,1,23.0,1.0
53,945,1,3,2,263.0,1.0
54,946,2,0,0,15.5792,1.0
55,947,3,4,1,29.125,0.0
56,948,3,0,0,7.8958,0.0
57,949,3,0,0,7.65,0.0
58,950,3,1,0,16.1,0.0
59,951,1,0,0,262.375,1.0
60,952,3,0,0,7.8958,0.0
61,953,2,0,0,13.5,0.0
62,954,3,0,0,7.75,0.0
63,955,3,0,0,7.725,0.0
64,956,1,2,2,262.375,1.0
65,957,2,0,0,21.0,1.0
66,958,3,0,0,7.8792,0.0
67,959,1,0,0,42.4,1.0
68,960,1,0,0,28.5375,1.0
69,961,1,1,4,263.0,1.0
70,962,3,0,0,7.75,0.0
71,963,3,0,0,7.8958,0.0
72,964,3,0,0,7.925,0.0
73,965,1,0,0,27.7208,1.0
74,966,1,0,0,211.5,1.0
75,967,1,0,0,211.5,1.0
76,968,3,0,0,8.05,0.0
77,969,1,2,0,25.7,1.0
78,970,2,0,0,13.0,0.0
79,971,3,0,0,7.75,0.0
80,972,3,1,1,15.2458,0.0
81,973,1,1,0,221.7792,1.0
82,974,1,0,0,26.0,1.0
83,975,3,0,0,7.8958,0.0
84,976,2,0,0,10.7083,0.0
85,977,3,1,0,14.4542,0.0
86,978,3,0,0,7.8792,0.0
87,979,3,0,0,8.05,0.0
88,980,3,0,0,7.75,0.0
89,981,2,1,1,23.0,1.0
90,982,3,1,0,13.9,0.0
91,983,3,0,0,7.775,0.0
92,984,1,1,2,52.0,1.0
93,985,3,0,0,8.05,0.0
94,986,1,0,0,26.0,1.0
95,987,3,0,0,7.7958,0.0
96,988,1,1,0,78.85,1.0
97,989,3,0,0,7.925,0.0
98,990,3,0,0,7.8542,0.0
99,991,3,0,0,8.05,0.0
100,992,1,1,0,55.4417,1.0
101,993,2,1,0,26.0,1.0
102,994,3,0,0,7.75,0.0
103,995,3,0,0,7.775,0.0
104,996,3,1,1,8.5167,1.0
105,997,3,0,0,22.525,0.0
106,998,3,0,0,7.8208,0.0
107,999,3,0,0,7.75,0.0
108,1000,3,0,0,8.7125,0.0
109,1001,2,0,0,13.0,0.0
110,1002,2,0,0,15.0458,0.0
111,1003,3,0,0,7.7792,0.0
112,1004,1,0,0,31.6792,1.0
113,1005,3,0,0,7.2833,0.0
114,1006,1,1,0,221.7792,1.0
115,1007,3,1,0,14.4542,0.0
116,1008,3,0,0,6.4375,0.0
117,1009,3,1,1,16.7,1.0
118,1010,1,0,0,75.2417,1.0
119,1011,2,1,0,26.0,1.0
120,1012,2,0,0,15.75,1.0
121,1013,3,1,0,7.75,0.0
122,1014,1,1,0,57.75,1.0
123,1015,3,0,0,7.25,0.0
124,1016,3,0,0,7.75,0.0
125,1017,3,0,1,16.1,1.0
126,1018,3,0,0,7.7958,0.0
127,1019,3,2,0,23.25,0.0
128,1020,2,0,0,13.0,0.0
129,1021,3,0,0,8.05,0.0
130,1022,3,0,0,8.05,0.0
131,1023,1,0,0,28.5,1.0
132,1024,3,0,4,25.4667,0.0
133,1025,3,1,0,6.4375,0.0
134,1026,3,0,0,7.8958,0.0
135,1027,3,0,0,7.8542,0.0
136,1028,3,0,0,7.225,1.0
137,1029,2,0,0,13.0,0.0
138,1030,3,0,0,8.05,0.0
139,1031,3,1,6,46.9,0.0
140,1032,3,5,2,46.9,0.0
141,1033,1,0,0,151.55,1.0
142,1034,1,1,3,262.375,1.0
143,1035,2,0,0,26.0,1.0
144,1036,1,0,0,26.55,1.0
145,1037,3,3,0,18.0,0.0
146,1038,1,0,0,51.8625,1.0
147,1039,3,0,0,8.05,0.0
148,1040,1,0,0,26.55,1.0
149,1041,2,1,1,26.0,1.0
150,1042,1,0,1,83.1583,1.0
151,1043,3,0,0,7.8958,0.0
152,1044,3,0,0,35.6271884892086,0.0
153,1045,3,0,2,12.1833,1.0
